7.73,-2.21,4.26,0.25,0.0
7.69,-2.23,4.24,0.25,0.0
7.67,-2.25,4.24,0.25,0.0
7.65,-2.27,4.23,0.25,0.0
7.67,-2.31,4.24,0.25,0.0
7.73,-2.21,4.23,0.25,0.0
7.69,-2.23,4.22,0.25,0.0
7.67,-2.25,4.21,0.25,0.0
7.65,-2.27,4.2,0.25,0.0
7.67,-2.31,4.21,0.25,0.0
7.73,-2.21,4.2,0.25,0.0
7.69,-2.23,4.19,0.25,0.0
7.67,-2.25,4.18,0.25,0.0
7.65,-2.27,4.17,0.25,0.0
7.67,-2.31,4.18,0.25,0.0
7.73,-2.21,4.17,0.25,0.0
7.69,-2.23,4.16,0.25,0.0
7.67,-2.25,4.15,0.25,0.0
7.65,-2.27,4.13,0.25,0.0
7.67,-2.31,4.15,0.25,0.0
7.73,-2.21,4.13,0.25,0.0
7.69,-2.23,4.13,0.25,0.0
7.67,-2.25,4.12,0.25,0.0
7.65,-2.27,4.11,0.25,0.0
7.67,-2.31,4.12,0.25,0.0
7.73,-2.21,4.11,0.25,0.0
7.69,-2.23,4.09,0.25,0.0
7.67,-2.25,4.09,0.25,0.0
7.65,-2.27,4.08,0.25,0.0
7.67,-2.31,4.09,0.25,0.0
7.73,-2.21,4.08,0.25,0.0
7.69,-2.23,4.07,0.25,0.0
7.67,-2.25,4.05,0.25,0.0
7.65,-2.27,4.05,0.25,0.0
7.67,-2.31,4.05,0.25,0.0
7.73,-2.21,4.05,0.25,0.0
7.69,-2.23,4.04,0.25,0.0
7.67,-2.25,4.03,0.25,0.0
7.65,-2.27,4.0200000000000005,0.25,0.0
7.67,-2.31,4.03,0.25,0.0
7.73,-2.21,4.0200000000000005,0.25,0.0
7.69,-2.23,4.01,0.25,0.0
7.67,-2.25,4.0,0.25,0.0
7.65,-2.27,4.0,0.25,0.0
7.67,-2.31,4.0,0.25,0.0
7.73,-2.21,3.99,0.25,0.0
7.69,-2.23,3.98,0.25,0.0
7.67,-2.25,3.97,0.25,0.0
7.65,-2.27,3.97,0.25,0.0
7.67,-2.31,3.97,0.25,0.0
7.73,-2.21,3.96,0.25,0.0
7.69,-2.23,3.95,0.25,0.0
7.67,-2.25,3.94,0.25,0.0
7.65,-2.27,3.94,0.25,0.0
7.67,-2.31,3.94,0.25,0.0
7.73,-2.21,3.93,0.25,0.0
7.69,-2.23,3.92,0.25,0.0
7.67,-2.25,3.91,0.25,0.0
7.65,-2.27,3.91,0.25,0.0
7.67,-2.31,3.91,0.25,0.0
7.73,-2.21,3.9,0.25,0.0
7.69,-2.23,3.88,0.25,0.0
7.67,-2.25,3.88,0.25,0.0
7.65,-2.27,3.88,0.25,0.0
7.67,-2.31,3.88,0.25,0.0
7.73,-2.21,3.87,0.25,0.0
7.69,-2.23,3.86,0.25,0.0
7.67,-2.25,3.84,0.25,0.0
7.65,-2.27,3.84,0.25,0.0
7.67,-2.31,3.84,0.25,0.0
7.73,-2.21,3.84,0.25,0.0
7.69,-2.23,3.83,0.25,0.0
7.67,-2.25,3.8200000000000003,0.25,0.0
7.65,-2.27,3.8200000000000003,0.25,0.0
7.67,-2.31,3.8200000000000003,0.25,0.0
7.73,-2.21,3.8000000000000003,0.25,0.0
7.69,-2.23,3.8000000000000003,0.25,0.0
7.67,-2.25,3.79,0.25,0.0
7.65,-2.27,3.79,0.25,0.0
7.67,-2.31,3.79,0.25,0.0
7.73,-2.21,3.7800000000000002,0.25,0.0
7.69,-2.23,3.77,0.25,0.0
7.67,-2.25,3.7600000000000002,0.25,0.0
7.65,-2.27,3.7600000000000002,0.25,0.0
7.67,-2.31,3.7600000000000002,0.25,0.0
25.84,-20.86,10.09,0.22,0.0
25.84,-20.97,10.09,0.22,0.0
7.73,-2.21,3.75,0.25,0.0
7.69,-2.23,3.74,0.25,0.0
7.67,-2.25,3.73,0.25,0.0
7.65,-2.27,3.73,0.25,0.0
7.67,-2.31,3.73,0.25,0.0
26.11,-20.76,10.07,0.14,0.0
25.900000000000002,-20.7,10.0,0.2,0.0
25.84,-20.76,9.98,0.24,0.0
25.96,-20.96,10.02,0.48,0.0
25.900000000000002,-21.01,10.0,0.27,0.0
25.84,-21.07,9.98,0.23,0.0
7.73,-2.21,3.72,0.25,0.0
7.69,-2.23,3.71,0.25,0.0
7.67,-2.25,3.7,0.25,0.0
7.65,-2.27,3.7,0.25,0.0
7.67,-2.31,3.7,0.25,0.0
26.35,-20.740000000000002,10.05,0.12,0.0
26.14,-20.68,9.98,0.13,0.0
25.93,-20.62,9.91,0.19,0.0
25.84,-20.650000000000002,9.88,0.24,0.0
25.96,-20.85,9.92,0.42,0.0
25.96,-20.96,9.92,0.38,0.0
25.96,-21.07,9.92,0.35000000000000003,0.0
